years_old,year,deaths,population,Deaths per 100k
74,2002,65,1679791,3.9
74,2003,66,1644551,4
74,2004,79,1696130,4.7
74,2005,71,1638505,4.3
74,2006,88,1619038,5.4
74,2007,59,1608315,3.7
74,2008,65,1581331,4.1
74,2009,67,1702305,3.9
74,2010,61,1684487,3.6
74,2011,72,1705200,4.2
74,2012,84,1792914,4.7
74,2013,86,1820632,4.7
74,2014,81,1890366,4.3
74,2015,106,1953711,5.4
74,,1183,29084712,4.1
75,1999,54,1637734,3.3
75,2000,50,1651641,3
75,2001,50,1610892,3.1
75,2002,57,1620812,3.5
75,2003,56,1617308,3.5
75,2004,73,1581121,4.6
75,2005,67,1629763,4.1
75,2006,98,1573506,6.2
75,2007,52,1553097,3.3
75,2008,52,1541027,3.4
75,2009,56,1513301,3.7
75,2010,66,1620077,4.1
75,2011,48,1638322,2.9
75,2012,74,1657855,4.5
75,2013,83,1743415,4.8
75,2014,81,1774697,4.6
75,2015,85,1839823,4.6
75,,1102,27804391,4
76,1999,60,1539287,3.9
76,2000,41,1556567,2.6
76,2001,60,1589103,3.8
76,2002,52,1554475,3.3
76,2003,59,1567629,3.8
76,2004,64,1566753,4.1
76,2005,81,1535359,5.3
76,2006,77,1587027,4.9
76,2007,59,1535224,3.8
76,2008,57,1518327,3.8
76,2009,72,1510000,4.8
76,2010,62,1471070,4.2
76,2011,51,1580914,3.2
76,2012,60,1588005,3.8
76,2013,61,1607329,3.8
76,2014,77,1694648,4.5
76,2015,86,1722041,5
76,,1079,26723758,4
77,1999,63,1499362,4.2
77,2000,58,1460781,4
77,2001,60,1503097,4
77,2002,55,1522890,3.6
77,2003,62,1489790,4.2
77,2004,83,1501866,5.5
77,2005,77,1501643,5.1
77,2006,82,1472328,5.6
77,2007,50,1521903,3.3
77,2008,55,1472006,3.7
77,2009,64,1455744,4.4
77,2010,54,1455330,3.7
77,2011,48,1430790,3.4
77,2012,54,1527795,3.5
77,2013,73,1534778,4.8
77,2014,59,1557239,3.8
77,2015,69,1639085,4.2
77,,1066,25546427,4.2
78,1999,42,1407240,3
78,2000,38,1431916,2.7
78,2001,47,1405933,3.3
78,2002,53,1436185,3.7
78,2003,54,1456995,3.7
78,2004,64,1425682,4.5
78,2005,67,1439475,4.7
78,2006,77,1441641,5.3
78,2007,51,1414814,3.6
78,2008,70,1464084,4.8
78,2009,72,1417539,5.1
78,2010,58,1400123,4.1
78,2011,53,1394574,3.8
78,2012,53,1377972,3.8
78,2013,57,1471162,3.9
78,2014,67,1481505,4.5
78,2015,57,1500813,3.8
78,,980,24367653,4
79,1999,45,1258983,3.6
79,2000,48,1314908,3.7
79,2001,37,1346388,2.7
79,2002,47,1336099,3.5
79,2003,57,1366120,4.2
79,2004,65,1385977,4.7
79,2005,72,1357369,5.3
79,2006,70,1372532,5.1
79,2007,63,1375325,4.6
79,2008,49,1350299,3.6
79,2009,59,1398480,4.2
79,2010,51,1371195,3.7
79,2011,64,1344087,4.8
79,2012,59,1337956,4.4
79,2013,62,1321197,4.7
79,2014,63,1414235,4.5
79,2015,56,1422071,3.9
79,,967,23073221,4.2
80,1999,40,1189382,3.4
80,2000,55,1207365,4.6
80,2001,49,1254832,3.9
80,2002,45,1269310,3.5
80,2003,46,1259724,3.7
80,2004,56,1286733,4.4
80,2005,77,1305661,5.9
80,2006,86,1278890,6.7
80,2007,54,1292775,4.2
80,2008,67,1294601,5.2
80,2009,56,1270444,4.4
80,2010,60,1308511,4.6
80,2011,48,1293211,3.7
80,2012,52,1283660,4.1
80,2013,55,1277377,4.3
80,2014,52,1264072,4.1
80,2015,60,1351196,4.4
80,,958,21687744,4.4
81,1999,44,1047265,4.2
81,2000,26,1072048,2.4
81,2001,38,1154138,3.3
81,2002,48,1180698,4.1
81,2003,65,1196760,5.4
81,2004,60,1189534,5
81,2005,71,1218283,5.8
81,2006,78,1239927,6.3
81,2007,40,1216593,3.3
81,2008,43,1232307,3.5
81,2009,53,1236769,4.3
81,2010,44,1212865,3.6
81,2011,57,1253347,4.5
81,2012,44,1228420,3.6
81,2013,60,1219160,4.9
81,2014,42,1216009,3.5
81,2015,47,1201044,3.9
81,,860,20315167,4.2
82,1999,36,972176,3.7
82,2000,37,981562,3.8
82,2001,38,993071,3.8
82,2002,42,1075053,3.9
82,2003,45,1100969,4.1
82,2004,52,1115106,4.7
82,2005,78,1109756,7
82,2006,75,1138135,6.6
82,2007,58,1158822,5
82,2008,43,1136851,3.8
82,2009,44,1152248,3.8
82,2010,48,1161421,4.1
82,2011,56,1145240,4.9
82,2012,49,1184179,4.1
82,2013,47,1160321,4.1
82,2014,50,1153634,4.3
82,2015,51,1148948,4.4
82,,849,18887492,4.5
83,1999,36,875092,4.1
83,2000,38,883063,4.3
83,2001,29,927192,3.1
83,2002,47,919945,5.1
83,2003,47,997727,4.7
83,2004,50,1023151,4.9
83,2005,56,1038431,5.4
83,2006,79,1036784,7.6
83,2007,39,1065220,3.7
83,2008,47,1086404,4.3
83,2009,53,1067638,5
83,2010,33,1074809,3.1
83,2011,51,1087100,4.7
83,2012,39,1074693,3.6
83,2013,47,1111120,4.2
83,2014,49,1090465,4.5
83,2015,39,1082562,3.6
83,,779,17441396,4.5
84,1999,47,798393,5.9
84,2000,39,801329,4.9
84,2001,31,808972,3.8
84,2002,38,849397,4.5
84,2003,46,843416,5.5
84,2004,52,913980,5.7
84,2005,60,939062,6.4
84,2006,66,954381,6.9
84,2007,39,953666,4.1
84,2008,35,980196,3.6
84,2009,56,1000612,5.6
84,2010,44,985721,4.5
84,2011,46,1007645,4.6
84,2012,50,1012099,4.9
84,2013,46,1000660,4.6
84,2014,56,1036186,5.4
84,2015,56,1015591,5.5
84,,807,15901306,5.1
85,1999,28,Not Applicable,Not Applicable
85,2000,28,Not Applicable,Not Applicable
85,2001,29,Not Applicable,Not Applicable
85,2002,36,Not Applicable,Not Applicable
85,2003,50,Not Applicable,Not Applicable
85,2004,47,Not Applicable,Not Applicable
85,2005,55,Not Applicable,Not Applicable
85,2006,63,Not Applicable,Not Applicable
85,2007,46,Not Applicable,Not Applicable
85,2008,46,Not Applicable,Not Applicable
85,2009,32,Not Applicable,Not Applicable
85,2010,53,Not Applicable,Not Applicable
85,2011,48,Not Applicable,Not Applicable
85,2012,51,Not Applicable,Not Applicable
85,2013,55,Not Applicable,Not Applicable
85,2014,49,Not Applicable,Not Applicable
85,2015,51,Not Applicable,Not Applicable
85,,767,Not Applicable,Not Applicable
86,1999,37,Not Applicable,Not Applicable
86,2000,25,Not Applicable,Not Applicable
86,2001,29,Not Applicable,Not Applicable
86,2002,37,Not Applicable,Not Applicable
86,2003,41,Not Applicable,Not Applicable
86,2004,44,Not Applicable,Not Applicable
86,2005,54,Not Applicable,Not Applicable
86,2006,45,Not Applicable,Not Applicable
86,2007,35,Not Applicable,Not Applicable
86,2008,29,Not Applicable,Not Applicable
86,2009,40,Not Applicable,Not Applicable
86,2010,38,Not Applicable,Not Applicable
86,2011,40,Not Applicable,Not Applicable
86,2012,29,Not Applicable,Not Applicable
86,2013,37,Not Applicable,Not Applicable
86,2014,44,Not Applicable,Not Applicable
86,2015,41,Not Applicable,Not Applicable
86,,645,Not Applicable,Not Applicable
87,1999,23,Not Applicable,Not Applicable
87,2000,39,Not Applicable,Not Applicable
87,2001,32,Not Applicable,Not Applicable
87,2002,30,Not Applicable,Not Applicable
87,2003,32,Not Applicable,Not Applicable
87,2004,34,Not Applicable,Not Applicable
87,2005,48,Not Applicable,Not Applicable
87,2006,46,Not Applicable,Not Applicable
87,2007,26,Not Applicable,Not Applicable
87,2008,32,Not Applicable,Not Applicable
87,2009,44,Not Applicable,Not Applicable
87,2010,47,Not Applicable,Not Applicable
87,2011,36,Not Applicable,Not Applicable
87,2012,42,Not Applicable,Not Applicable
87,2013,42,Not Applicable,Not Applicable
87,2014,31,Not Applicable,Not Applicable
87,2015,58,Not Applicable,Not Applicable
87,,642,Not Applicable,Not Applicable
88,1999,20,Not Applicable,Not Applicable
88,2000,34,Not Applicable,Not Applicable
88,2001,23,Not Applicable,Not Applicable
88,2002,27,Not Applicable,Not Applicable
88,2003,36,Not Applicable,Not Applicable
88,2004,25,Not Applicable,Not Applicable
88,2005,35,Not Applicable,Not Applicable
88,2006,48,Not Applicable,Not Applicable
88,2007,31,Not Applicable,Not Applicable
88,2008,23,Not Applicable,Not Applicable
88,2009,29,Not Applicable,Not Applicable
88,2010,33,Not Applicable,Not Applicable
88,2011,25,Not Applicable,Not Applicable
88,2012,28,Not Applicable,Not Applicable
88,2013,44,Not Applicable,Not Applicable
88,2014,31,Not Applicable,Not Applicable
88,2015,47,Not Applicable,Not Applicable
88,,539,Not Applicable,Not Applicable
89,1999,26,Not Applicable,Not Applicable
89,2000,24,Not Applicable,Not Applicable
89,2001,23,Not Applicable,Not Applicable
89,2002,29,Not Applicable,Not Applicable
89,2003,28,Not Applicable,Not Applicable
89,2004,29,Not Applicable,Not Applicable
89,2005,43,Not Applicable,Not Applicable
89,2006,48,Not Applicable,Not Applicable
89,2007,25,Not Applicable,Not Applicable
89,2008,25,Not Applicable,Not Applicable
89,2009,24,Not Applicable,Not Applicable
89,2010,22,Not Applicable,Not Applicable
89,2011,26,Not Applicable,Not Applicable
89,2012,24,Not Applicable,Not Applicable
89,2013,34,Not Applicable,Not Applicable
89,2014,36,Not Applicable,Not Applicable
89,2015,35,Not Applicable,Not Applicable
89,,501,Not Applicable,Not Applicable
90,1999,12,Not Applicable,Not Applicable
90,2000,22,Not Applicable,Not Applicable
90,2001,16,Not Applicable,Not Applicable
90,2002,21,Not Applicable,Not Applicable
90,2003,25,Not Applicable,Not Applicable
90,2004,28,Not Applicable,Not Applicable
90,2005,30,Not Applicable,Not Applicable
90,2006,43,Not Applicable,Not Applicable
90,2007,15,Not Applicable,Not Applicable
90,2008,32,Not Applicable,Not Applicable
90,2009,18,Not Applicable,Not Applicable
90,2010,25,Not Applicable,Not Applicable
90,2011,22,Not Applicable,Not Applicable
90,2012,26,Not Applicable,Not Applicable
90,2013,23,Not Applicable,Not Applicable
90,2014,23,Not Applicable,Not Applicable
90,2015,22,Not Applicable,Not Applicable
90,,403,Not Applicable,Not Applicable
91,1999,13,Not Applicable,Not Applicable
91,2000,18,Not Applicable,Not Applicable
91,2001,21,Not Applicable,Not Applicable
91,2002,20,Not Applicable,Not Applicable
91,2003,17,Not Applicable,Not Applicable
91,2004,29,Not Applicable,Not Applicable
91,2005,25,Not Applicable,Not Applicable
91,2006,33,Not Applicable,Not Applicable
91,2007,24,Not Applicable,Not Applicable
91,2008,20,Not Applicable,Not Applicable
91,2009,23,Not Applicable,Not Applicable
91,2010,23,Not Applicable,Not Applicable
91,2011,21,Not Applicable,Not Applicable
91,2012,26,Not Applicable,Not Applicable
91,2013,24,Not Applicable,Not Applicable
91,2014,18,Not Applicable,Not Applicable
91,2015,24,Not Applicable,Not Applicable
91,,379,Not Applicable,Not Applicable
92,1999,13,Not Applicable,Not Applicable
92,2000,13,Not Applicable,Not Applicable
92,2001,19,Not Applicable,Not Applicable
92,2002,15,Not Applicable,Not Applicable
92,2003,14,Not Applicable,Not Applicable
92,2004,13,Not Applicable,Not Applicable
92,2005,17,Not Applicable,Not Applicable
92,2006,27,Not Applicable,Not Applicable
92,2007,15,Not Applicable,Not Applicable
92,2008,20,Not Applicable,Not Applicable
92,2009,10,Not Applicable,Not Applicable
92,2010,10,Not Applicable,Not Applicable
92,2011,11,Not Applicable,Not Applicable
92,2012,22,Not Applicable,Not Applicable
92,2013,20,Not Applicable,Not Applicable
92,2014,21,Not Applicable,Not Applicable
92,2015,21,Not Applicable,Not Applicable
92,,281,Not Applicable,Not Applicable
93,1999,5,Not Applicable,Not Applicable
93,2000,14,Not Applicable,Not Applicable
93,2001,6,Not Applicable,Not Applicable
93,2002,11,Not Applicable,Not Applicable
93,2003,11,Not Applicable,Not Applicable
93,2004,19,Not Applicable,Not Applicable
93,2005,21,Not Applicable,Not Applicable
93,2006,18,Not Applicable,Not Applicable
93,2007,15,Not Applicable,Not Applicable
93,2008,10,Not Applicable,Not Applicable
93,2009,13,Not Applicable,Not Applicable
93,2010,16,Not Applicable,Not Applicable
93,2011,9,Not Applicable,Not Applicable
93,2012,14,Not Applicable,Not Applicable
93,2013,10,Not Applicable,Not Applicable
93,2014,14,Not Applicable,Not Applicable
93,2015,17,Not Applicable,Not Applicable
93,,223,Not Applicable,Not Applicable
94,1999,6,Not Applicable,Not Applicable
94,2000,8,Not Applicable,Not Applicable
94,2001,7,Not Applicable,Not Applicable
94,2002,17,Not Applicable,Not Applicable
94,2003,12,Not Applicable,Not Applicable
94,2004,9,Not Applicable,Not Applicable
94,2005,13,Not Applicable,Not Applicable
94,2006,14,Not Applicable,Not Applicable
94,2007,10,Not Applicable,Not Applicable
94,2008,8,Not Applicable,Not Applicable
94,2009,8,Not Applicable,Not Applicable
94,2010,8,Not Applicable,Not Applicable
94,2011,13,Not Applicable,Not Applicable
94,2012,12,Not Applicable,Not Applicable
94,2013,12,Not Applicable,Not Applicable
94,2014,14,Not Applicable,Not Applicable
94,2015,16,Not Applicable,Not Applicable
94,,187,Not Applicable,Not Applicable
95,1999,3,Not Applicable,Not Applicable
95,2000,5,Not Applicable,Not Applicable
95,2001,6,Not Applicable,Not Applicable
95,2002,5,Not Applicable,Not Applicable
95,2003,5,Not Applicable,Not Applicable
95,2004,7,Not Applicable,Not Applicable
95,2005,13,Not Applicable,Not Applicable
95,2006,14,Not Applicable,Not Applicable
95,2007,4,Not Applicable,Not Applicable
95,2008,6,Not Applicable,Not Applicable
95,2009,8,Not Applicable,Not Applicable
95,2010,9,Not Applicable,Not Applicable
95,2011,6,Not Applicable,Not Applicable
95,2012,9,Not Applicable,Not Applicable
95,2013,3,Not Applicable,Not Applicable
95,2014,12,Not Applicable,Not Applicable
95,2015,10,Not Applicable,Not Applicable
95,,125,Not Applicable,Not Applicable
96,1999,8,Not Applicable,Not Applicable
96,2000,1,Not Applicable,Not Applicable
96,2001,2,Not Applicable,Not Applicable
96,2002,5,Not Applicable,Not Applicable
96,2003,5,Not Applicable,Not Applicable
96,2004,3,Not Applicable,Not Applicable
96,2005,9,Not Applicable,Not Applicable
96,2006,10,Not Applicable,Not Applicable
96,2007,6,Not Applicable,Not Applicable
96,2008,3,Not Applicable,Not Applicable
96,2009,4,Not Applicable,Not Applicable
96,2010,6,Not Applicable,Not Applicable
96,2011,6,Not Applicable,Not Applicable
96,2012,4,Not Applicable,Not Applicable
96,2013,4,Not Applicable,Not Applicable
96,2014,8,Not Applicable,Not Applicable
96,2015,4,Not Applicable,Not Applicable
96,,88,Not Applicable,Not Applicable
97,1999,3,Not Applicable,Not Applicable
97,2000,4,Not Applicable,Not Applicable
97,2001,3,Not Applicable,Not Applicable
97,2002,2,Not Applicable,Not Applicable
97,2003,2,Not Applicable,Not Applicable
97,2004,3,Not Applicable,Not Applicable
97,2005,7,Not Applicable,Not Applicable
97,2006,4,Not Applicable,Not Applicable
97,2007,3,Not Applicable,Not Applicable
97,2008,4,Not Applicable,Not Applicable
97,2009,8,Not Applicable,Not Applicable
97,2010,3,Not Applicable,Not Applicable
97,2011,5,Not Applicable,Not Applicable
97,2012,4,Not Applicable,Not Applicable
97,2013,5,Not Applicable,Not Applicable
97,2014,3,Not Applicable,Not Applicable
97,2015,2,Not Applicable,Not Applicable
97,,65,Not Applicable,Not Applicable
98,1999,3,Not Applicable,Not Applicable
98,2000,1,Not Applicable,Not Applicable
98,2001,2,Not Applicable,Not Applicable
98,2004,2,Not Applicable,Not Applicable
98,2005,3,Not Applicable,Not Applicable
98,2006,5,Not Applicable,Not Applicable
98,2007,6,Not Applicable,Not Applicable
98,2009,6,Not Applicable,Not Applicable
98,2010,3,Not Applicable,Not Applicable
98,2011,5,Not Applicable,Not Applicable
98,2012,1,Not Applicable,Not Applicable
98,2013,3,Not Applicable,Not Applicable
98,2014,1,Not Applicable,Not Applicable
98,2015,3,Not Applicable,Not Applicable
98,,44,Not Applicable,Not Applicable
99,2000,4,Not Applicable,Not Applicable
99,2001,4,Not Applicable,Not Applicable
99,2002,3,Not Applicable,Not Applicable
99,2003,1,Not Applicable,Not Applicable
99,2004,4,Not Applicable,Not Applicable
99,2005,4,Not Applicable,Not Applicable
99,2006,3,Not Applicable,Not Applicable
99,2009,3,Not Applicable,Not Applicable
99,2010,2,Not Applicable,Not Applicable
99,2011,5,Not Applicable,Not Applicable
99,2012,5,Not Applicable,Not Applicable
99,2013,2,Not Applicable,Not Applicable
99,2014,4,Not Applicable,Not Applicable
99,2015,1,Not Applicable,Not Applicable
99,,45,Not Applicable,Not Applicable
100,1999,1,Not Applicable,Not Applicable
100,2001,4,Not Applicable,Not Applicable
100,2002,2,Not Applicable,Not Applicable
100,2003,4,Not Applicable,Not Applicable
100,2004,8,Not Applicable,Not Applicable
100,2005,11,Not Applicable,Not Applicable
100,2006,7,Not Applicable,Not Applicable
100,2007,3,Not Applicable,Not Applicable
100,2008,3,Not Applicable,Not Applicable
100,2009,5,Not Applicable,Not Applicable
100,2010,5,Not Applicable,Not Applicable
100,2011,2,Not Applicable,Not Applicable
100,2012,4,Not Applicable,Not Applicable
100,2013,1,Not Applicable,Not Applicable
100,2014,1,Not Applicable,Not Applicable
100,2015,1,Not Applicable,Not Applicable
100,,62,Not Applicable,Not Applicable
NS,1999,18,Not Applicable,Not Applicable
NS,2000,14,Not Applicable,Not Applicable
NS,2001,16,Not Applicable,Not Applicable
NS,2002,10,Not Applicable,Not Applicable
NS,2003,12,Not Applicable,Not Applicable
NS,2004,12,Not Applicable,Not Applicable
NS,2005,5,Not Applicable,Not Applicable
NS,2006,16,Not Applicable,Not Applicable
NS,2007,4,Not Applicable,Not Applicable
NS,2008,4,Not Applicable,Not Applicable
NS,2009,7,Not Applicable,Not Applicable
NS,2010,4,Not Applicable,Not Applicable
NS,2011,6,Not Applicable,Not Applicable
NS,2012,4,Not Applicable,Not Applicable
NS,2013,6,Not Applicable,Not Applicable
NS,2014,8,Not Applicable,Not Applicable
NS,2015,5,Not Applicable,Not Applicable
NS,,151,Not Applicable,Not Applicable
,,613475,5112618876,12
